accuracy,balanced_accuracy,f1_macro,f1_weighted,mae,adjacent_accuracy,kappa_linear,kappa_quadratic,spearman_r,roc_auc_macro_ovr,roc_auc_weighted_ovr,fold,n_train,n_val,best_penalty,best_C,best_solver,inner_auc_score
0.48623853211009177,0.48943946746298367,0.4767084480316434,0.49328360532780446,0.6513761467889908,0.8623853211009175,0.2717606097675731,0.3129251700680272,0.30531150212323205,0.6289215055289775,0.6290285066421019,1,758,109,l2,0.0001,lbfgs,0.6196780157726016
0.4793388429752066,0.5186929876585049,0.4811624617560691,0.4713521684256429,0.628099173553719,0.8925619834710744,0.29010344295198387,0.34663843303335096,0.38652135897607304,0.6768753127823594,0.6597325599301884,2,746,121,l2,0.0001,lbfgs,0.6241206410434688
0.4444444444444444,0.46022047169588154,0.4435716377772452,0.45327383858017295,0.6975308641975309,0.8580246913580247,0.21675509156255346,0.25386709924106377,0.2923392820555196,0.6425769213489959,0.6404035277671104,3,705,162,l2,0.0001,lbfgs,0.622124499119727
0.45374449339207046,0.44226190476190474,0.42713621897896453,0.454877333570336,0.7092511013215859,0.8370044052863436,0.18010095344924293,0.20583287430587616,0.2630207371862131,0.6153340024534404,0.6115358861100589,4,640,227,l2,0.0001,lbfgs,0.636136867895073
0.42338709677419356,0.439489287911842,0.41452202563639645,0.41645300879685976,0.7459677419354839,0.8306451612903226,0.19438103599648815,0.24166780339198846,0.30790316785816446,0.6590895535335942,0.6563706553409895,5,619,248,l2,0.0001,lbfgs,0.6129656175508001
