accuracy,balanced_accuracy,f1_macro,f1_weighted,mae,adjacent_accuracy,kappa_linear,kappa_quadratic,spearman_r,roc_auc_macro_ovr,roc_auc_weighted_ovr,fold,n_train,n_val,best_penalty,best_C,best_solver,inner_auc_score
0.37404580152671757,0.3958510940608127,0.3732688774434505,0.365664098685522,0.7709923664122137,0.8549618320610687,0.1561324064034697,0.23139588873411854,0.22786533521105135,0.5797988753248199,0.5722353704998172,1,736,131,l2,0.001,lbfgs,0.6352531368055068
0.4708994708994709,0.45856558900037153,0.4398006959246507,0.45425653090844104,0.6878306878306878,0.8412698412698413,0.24218123496391342,0.2888263952152731,0.2550509421457952,0.6033090505741278,0.603714791886835,2,678,189,l2,0.001,lbfgs,0.6417480016640973
0.475,0.4750980392156863,0.47071824134390416,0.47883811796192505,0.66875,0.85625,0.24647887323943662,0.2829525483304042,0.2887591303325565,0.6215360698755731,0.6221547782541703,3,707,160,l2,0.01,lbfgs,0.6222817573074739
0.4188034188034188,0.43098965362123254,0.4072828030583302,0.4211632927642916,0.6923076923076923,0.8888888888888888,0.1778076606081639,0.24903272247383101,0.30961101641180055,0.6241569503321501,0.608588594401643,4,633,234,l2,0.0001,lbfgs,0.6067044184197294
0.43137254901960786,0.4553219849830019,0.42186948853615513,0.42956046616177335,0.6993464052287581,0.869281045751634,0.20478943022295615,0.2566678785074529,0.33282228125293145,0.6291645792937312,0.6156459814870759,5,714,153,l2,0.001,lbfgs,0.61388919537577
