roc_auc,pr_auc,accuracy,f1,balanced_accuracy,matthews_corrcoef,sensitivity,specificity,precision,pos_LR,sensitivity_at_spec100,fold,n_train,n_val,threshold,best_penalty,best_C,best_solver,best_inner_score
0.7070909090909091,0.6367601406280384,0.6333333333333333,0.6751054852320675,0.6409090909090909,0.2955586251043082,0.8,0.4818181818181818,0.583941605839416,1.5438596491228072,0.01,1,683,210,0.4510057066132107,l2,0.0001,liblinear,0.6519856862005062
0.6750619322873657,0.7711984838525279,0.6342412451361867,0.6987179487179487,0.6364574731626755,0.2568866951023659,0.630057803468208,0.6428571428571429,0.7841726618705036,1.7641618497109828,0.023121387283236993,2,636,257,0.5336580298691521,l2,0.001,liblinear,0.678925891825001
0.6364444444444445,0.7380216263816396,0.6583333333333333,0.7388535031847133,0.62,0.2497752519933551,0.7733333333333333,0.4666666666666667,0.7073170731707317,1.45,0.09333333333333334,3,773,120,0.48173682663131784,l2,0.0001,liblinear,0.6805608052835717
0.6680093555093554,0.681009843357491,0.6067415730337079,0.631578947368421,0.6127858627858628,0.22247133044651282,0.5769230769230769,0.6486486486486487,0.6976744186046512,1.6420118343195267,0.009615384615384616,4,715,178,0.5157382652312877,l2,0.001,liblinear,0.6641235527117522
0.6636212624584716,0.7811880248789633,0.6953125,0.7796610169491526,0.6392580287929125,0.2884712601512946,0.8023255813953488,0.47619047619047616,0.7582417582417582,1.5317124735729386,0.046511627906976744,5,765,128,0.49017318475015437,l2,0.0001,liblinear,0.6775140031870655
