model_type,pretrained_seed,fold,downstream_seed,LR,weight_decay,best_epoch,val_ECE_mean,val_auprc_mean,val_auroc_mean,val_average_precision_mean,val_balanced_accuracy_mean,val_f1_mean,val_loss,val_mcc_mean,val_optimal_threshold_mean,val_pos_lr_mean,val_ppv_mean,val_precision_mean,val_recall_mean,val_sensitivity_mean,val_specificity_mean,val_supervised_loss
Soft_Clip_with_Frozen_Teacher,0,1,0,0.001,0.0,4,0.05394840985536575,0.7973621487617493,0.6688988208770752,0.7973621487617493,0.6425595283508301,0.7053139805793762,0.644081711769104,0.2732774019241333,0.586938738822937,1.777597427368164,0.7684210538864136,0.7684210538864136,0.6517857313156128,0.6517857313156128,0.6333333253860474,0.644081711769104
Soft_Clip_with_Frozen_Teacher,0,1,0,0.001,0.01,135,0.052947867661714554,0.7839406728744507,0.6767857074737549,0.7839406728744507,0.6580356955528259,0.6934673190116882,0.6515844464302063,0.30130115151405334,0.6166024804115295,2.0535714626312256,0.7931034564971924,0.7931034564971924,0.6160714030265808,0.6160714030265808,0.699999988079071,0.6515844464302063
Soft_Clip_with_Frozen_Teacher,0,1,0,0.001,0.1,0,0.0918443351984024,0.7845889329910278,0.6351190209388733,0.7845889329910278,0.6282737851142883,0.5955055952072144,0.654745876789093,0.25143614411354065,0.6996645331382751,2.184065818786621,0.8030303120613098,0.8030303120613098,0.4732142984867096,0.4732142984867096,0.7833333611488342,0.654745876789093
Soft_Clip_with_Frozen_Teacher,0,1,0,0.001,1.0,3,0.0785348191857338,0.7927066087722778,0.6751487851142883,0.7927066087722778,0.651190459728241,0.6451612710952759,0.6387690305709839,0.2910785377025604,0.6786457300186157,2.2959184646606445,0.8108108043670654,0.8108108043670654,0.5357142686843872,0.5357142686843872,0.7666666507720947,0.6387690305709839
Soft_Clip_with_Frozen_Teacher,0,1,0,0.0001,0.0,33,0.1590905487537384,0.7657454609870911,0.6360118985176086,0.7657454609870911,0.6532738208770752,0.7431192398071289,0.736712634563446,0.3004399538040161,0.5395805239677429,1.735714316368103,0.7641509175300598,0.7641509175300598,0.7232142686843872,0.7232142686843872,0.5833333134651184,0.736712634563446
Soft_Clip_with_Frozen_Teacher,0,1,0,0.0001,0.01,33,0.10832437127828598,0.807549774646759,0.6705357432365417,0.807549774646759,0.6401785612106323,0.6666666865348816,0.6934573650360107,0.26740050315856934,0.7161972522735596,1.9345238208770752,0.7831325531005859,0.7831325531005859,0.5803571343421936,0.5803571343421936,0.699999988079071,0.6934573650360107
Soft_Clip_with_Frozen_Teacher,0,1,0,0.0001,0.1,60,0.13534709811210632,0.7769109606742859,0.6675595045089722,0.7769109606742859,0.6297619342803955,0.695652186870575,0.6900234222412109,0.24874518811702728,0.6514859199523926,1.677018642425537,0.75789475440979,0.75789475440979,0.6428571343421936,0.6428571343421936,0.6166666746139526,0.6900234222412109
Soft_Clip_with_Frozen_Teacher,0,1,0,0.0001,1.0,30,0.10053245723247528,0.7638075351715088,0.647470235824585,0.7638075351715088,0.6446428298950195,0.6734693646430969,0.7067272067070007,0.27582311630249023,0.669550895690918,1.9642857313156128,0.7857142686843872,0.7857142686843872,0.5892857313156128,0.5892857313156128,0.699999988079071,0.7067272067070007
Soft_Clip_with_Frozen_Teacher,0,1,0,1e-05,0.0,73,0.10554548352956772,0.735945999622345,0.5921130776405334,0.735945999622345,0.5860118865966797,0.5666666626930237,0.7487686276435852,0.1676880270242691,0.7237474918365479,1.6071428060531616,0.75,0.75,0.4553571343421936,0.4553571343421936,0.7166666388511658,0.7487686276435852
Soft_Clip_with_Frozen_Teacher,0,1,0,1e-05,0.01,155,0.13442334532737732,0.7452171444892883,0.6111606955528259,0.7452171444892883,0.6095238327980042,0.6282722353935242,0.7431228160858154,0.20949234068393707,0.6922885775566101,1.6917293071746826,0.7594936490058899,0.7594936490058899,0.5357142686843872,0.5357142686843872,0.6833333373069763,0.7431228160858154
