accuracy,balanced_accuracy,f1_macro,f1_weighted,mae,adjacent_accuracy,kappa_linear,kappa_quadratic,spearman_r,roc_auc_macro_ovr,roc_auc_weighted_ovr,fold,n_train,n_val,best_penalty,best_C,best_solver,inner_auc_score
0.4789915966386555,0.4796296296296297,0.46339781076623177,0.47736233494747426,0.6302521008403361,0.8907563025210085,0.24955856386109476,0.2910399339349967,0.3022114882395121,0.6209661326992325,0.6133792571079686,1,748,119,l2,0.0001,lbfgs,0.6446270848423138
0.46564885496183206,0.48870714972409884,0.4661498708010336,0.46500384638144265,0.6717557251908397,0.8625954198473282,0.23401993355481732,0.2579259936043856,0.2784816681019524,0.6508481787655911,0.6440011367972346,2,736,131,l2,0.0001,lbfgs,0.6456125937280972
0.4823529411764706,0.48704557091653866,0.48160557251466335,0.48540558059274636,0.6764705882352942,0.8411764705882353,0.23285198555956677,0.23805229936880068,0.2952886673279452,0.6426828534953547,0.6399174800969194,3,697,170,l2,0.0001,lbfgs,0.6327999294203192
0.4425531914893617,0.4215482074995349,0.4192802966128555,0.4544159891865066,0.6510638297872341,0.9063829787234042,0.23263258990502622,0.3283278926369243,0.4049949408097685,0.630581831956874,0.6342909904331567,4,632,235,l2,0.0001,lbfgs,0.6778940989993579
0.4858490566037736,0.4741304996323987,0.46504218241489914,0.49797950169515554,0.6179245283018868,0.8962264150943396,0.2562797921910984,0.30336487907465826,0.3978466392415443,0.6753701326856284,0.6776010579615853,5,655,212,l2,0.0001,lbfgs,0.6235535341928984
