roc_auc,pr_auc,accuracy,f1,balanced_accuracy,matthews_corrcoef,sensitivity,specificity,precision,pos_LR,sensitivity_at_spec100,fold,n_train,n_val,threshold,best_penalty,best_C,best_solver,best_inner_score
0.6539999999999999,0.7505769616173673,0.6538461538461539,0.7239263803680982,0.62875,0.26074696006921555,0.7375,0.52,0.7108433734939759,1.5364583333333335,0.075,1,737,130,0.48952425221410856,l2,0.01,liblinear,0.6625137003428548
0.6876369327073553,0.7908850817957815,0.6293103448275862,0.7034482758620689,0.6035993740219092,0.21007871540990994,0.7183098591549296,0.4888888888888889,0.6891891891891891,1.4053888548683406,0.2112676056338028,2,751,116,0.46335508369997425,l2,0.01,lbfgs,0.6377302429403062
0.6675490196078431,0.6670148899353316,0.6223776223776224,0.64,0.6214705882352941,0.24294117647058824,0.64,0.6029411764705882,0.64,1.6118518518518516,0.02,3,581,286,0.47759684291633153,l2,0.01,lbfgs,0.6834292028372739
0.6710702341137124,0.8163659864395028,0.6826347305389222,0.7665198237885462,0.637876254180602,0.2716937872085621,0.7565217391304347,0.5192307692307693,0.7767857142857143,1.5735652173913044,0.11304347826086956,4,700,167,0.48810737310018726,l2,0.01,liblinear,0.6350145141118361
0.6457352941176471,0.7041769472356967,0.625,0.6834170854271356,0.6120588235294118,0.22360853072627335,0.68,0.5441176470588235,0.6868686868686869,1.4916129032258063,0.0,5,699,168,0.4701599605359686,l2,0.01,lbfgs,0.6864335828491301
