accuracy,balanced_accuracy,f1_macro,f1_weighted,mae,adjacent_accuracy,kappa_linear,kappa_quadratic,spearman_r,roc_auc_macro_ovr,roc_auc_weighted_ovr,fold,n_train,n_val,best_penalty,best_C,best_solver,inner_auc_score
0.45871559633027525,0.46824063705362695,0.4452723235156615,0.4543793507212064,0.7155963302752294,0.8256880733944955,0.21669430624654507,0.24621437939668545,0.3724861040834822,0.6642209113934192,0.6590122038920149,1,758,109,l2,0.001,lbfgs,0.6180730900149919
0.5041322314049587,0.498839278149623,0.4953954015877926,0.5055026035741947,0.5950413223140496,0.9008264462809917,0.26094333220223964,0.2899755501222494,0.3227449703085143,0.6702160920029258,0.662292941218561,2,746,121,l2,0.01,lbfgs,0.630382159191463
0.41975308641975306,0.4310718425472524,0.41775281390969216,0.4202861842265337,0.7037037037037037,0.8765432098765432,0.1800745871070858,0.23790322580645162,0.29798502241315183,0.6201287940095388,0.6132327615143405,3,705,162,l2,0.01,lbfgs,0.6341532816302864
0.4669603524229075,0.45555555555555555,0.43932901373851957,0.4624114362535724,0.6872246696035242,0.8458149779735683,0.19510864624056734,0.22520917026610698,0.25116693461537537,0.629660544619561,0.6233664670871285,4,640,227,l2,0.001,lbfgs,0.6463592853724622
0.46774193548387094,0.4697198533412663,0.45156695156695154,0.4589709125999448,0.6774193548387096,0.8548387096774194,0.25134766046143897,0.30343600786443203,0.3480828880297166,0.6487974421054898,0.6442760336661547,5,619,248,l2,0.001,lbfgs,0.6055353009476083
