accuracy,balanced_accuracy,f1_macro,f1_weighted,mae,adjacent_accuracy,kappa_linear,kappa_quadratic,spearman_r,roc_auc_macro_ovr,roc_auc_weighted_ovr,fold,n_train,n_val,best_penalty,best_C,best_solver,inner_auc_score
0.42748091603053434,0.44302358624609267,0.4294720109824606,0.4237579545553261,0.6870229007633588,0.8854961832061069,0.22260319134907025,0.300151366752738,0.3285979833981236,0.6076157267030523,0.6016976515954614,1,736,131,l2,0.001,lbfgs,0.6515008248240469
0.43915343915343913,0.4295429208472687,0.42063910533065146,0.4308092591920975,0.7407407407407407,0.8201058201058201,0.16724365833700516,0.1932028075360177,0.2768899427771666,0.6455696366636058,0.6413428160739989,2,678,189,l2,0.001,lbfgs,0.6500282064942732
0.45625,0.4717553688141924,0.457364997741104,0.45460011311089854,0.70625,0.8375,0.2064606741573033,0.22142267311548902,0.3269184664567198,0.6617560163164438,0.6593722156159979,3,707,160,l2,0.001,lbfgs,0.6427134424735554
0.5341880341880342,0.550391363022942,0.5212776686460897,0.544337377670711,0.6196581196581197,0.8461538461538461,0.27506196051619514,0.25363788693888345,0.2731899845259279,0.6790910008574945,0.6675814907554658,4,633,234,l2,0.001,lbfgs,0.6338454445432046
0.45098039215686275,0.46807665028004014,0.4451130919657582,0.4589466719434704,0.6601307189542484,0.8888888888888888,0.2286997753930622,0.28427873453688624,0.28030140993273917,0.6564525786801425,0.6507139799589845,5,714,153,l2,0.001,lbfgs,0.642078837481217
