roc_auc,pr_auc,accuracy,f1,balanced_accuracy,matthews_corrcoef,sensitivity,specificity,precision,pos_LR,sensitivity_at_spec100,fold,n_train,n_val,threshold,best_penalty,best_C,best_solver,best_inner_score
0.6799271606667601,0.7384860101855523,0.6342281879194631,0.699724517906336,0.6149554092543307,0.233116622640221,0.7175141242937854,0.512396694214876,0.6827956989247311,1.471512017619458,0.011299435028248588,1,595,298,0.462692215239465,l2,0.0001,liblinear,0.668606642379096
0.7465753424657534,0.7559056455706348,0.7237569060773481,0.7663551401869159,0.715246067985794,0.4287014632464315,0.7592592592592593,0.6712328767123288,0.7735849056603774,2.309413580246914,0.018518518518518517,2,712,181,0.4901246437330503,l1,0.01,liblinear,0.6240376078068528
0.5552808988764045,0.6483155308972364,0.6115107913669064,0.7216494845360825,0.5432584269662921,0.09659321380673691,0.7865168539325843,0.3,0.6666666666666666,1.1235955056179776,0.0,3,754,139,0.46767273019314554,l2,0.001,liblinear,0.7015521927291559
0.683896103896104,0.7138421361686915,0.7166666666666667,0.7883817427385892,0.6746753246753247,0.38262490041637315,0.8636363636363636,0.4857142857142857,0.7251908396946565,1.6792929292929295,0.00909090909090909,4,713,180,0.4780081844056679,l2,0.0001,liblinear,0.6640484006889381
0.7190605239385728,0.7043806853630658,0.6842105263157895,0.7115384615384616,0.684056007226739,0.3651552435636623,0.6851851851851852,0.6829268292682927,0.74,2.1609686609686616,0.05555555555555555,5,798,95,0.5104299969212546,l2,0.0001,liblinear,0.663223830190182
