feature,roc_auc,pr_auc,accuracy,f1,balanced_accuracy,matthews_corrcoef,sensitivity,specificity,precision,pos_LR,sensitivity_at_spec100
ChemBERTa-MLM,0.6674444543417767,0.7298930309303064,0.6347957473350353,0.6873306542075786,0.6234034340156959,0.2456073330581221,0.674098651702338,0.5727082163290538,0.7047905350898023,1.63314862317402,0.037943921602212514
ChemBERTa-MTR,0.6471631158114249,0.7143359849345233,0.6104272684039758,0.6683150298995725,0.5963812981238394,0.19463192228635173,0.6669395618262906,0.5258230344213882,0.6781179156176614,1.4212607710917344,0.024782902390373472
ECFP_1024_2,0.6990315926990219,0.7491510206542241,0.6654662231016149,0.7179193647255708,0.6503623500358077,0.3029361043816979,0.719787526822965,0.5809371732486504,0.7190797524921315,1.7336102360827004,0.04937757391753877
GNN_Soft_Clip_with_Frozen_Teacher_seed0_GNN,0.6698722524092067,0.7136655819694223,0.6429474998939724,0.6951214178828894,0.6335689697122521,0.26672623522638117,0.6857029454604064,0.5814349939640979,0.7122339769395235,1.6976053965279876,0.0161532363031435
GNN_Soft_Clip_with_Frozen_Teacher_seed0_first_fc,0.6863874877860064,0.7428499074146648,0.645036079047979,0.6904164879320672,0.6405269583757186,0.27720927300384424,0.6651800945131058,0.6158738222383314,0.7220299544564832,1.7667922136528031,0.024042057973642755
GNN_Soft_Clip_with_Frozen_Teacher_seed0_second_fc,0.654876939267823,0.7105180595656734,0.6385446046416225,0.6943905225939565,0.6197209261153933,0.24321104996074683,0.6966699622641148,0.5427718899666718,0.6978856806564984,1.5781318331599812,0.024696749523005615
GNN_Soft_Clip_with_Frozen_Teacher_seed1_GNN,0.6572573631025699,0.7053180578616598,0.6464278349510856,0.7064276833909184,0.6273998580671796,0.2598971453326959,0.7188666314559424,0.5359330846784167,0.6987967849970446,1.574887946973995,0.02071970346976323
GNN_Soft_Clip_with_Frozen_Teacher_seed1_first_fc,0.6758502455188978,0.7292945644789778,0.6490935726901959,0.6992262728932417,0.6375721503122055,0.27501261734784155,0.6878232931701063,0.5873210074543046,0.7164020111585336,1.724656673036023,0.022342693978800794
GNN_Soft_Clip_with_Frozen_Teacher_seed1_second_fc,0.6584122008246872,0.7143947378329849,0.6255711288335081,0.6742096614519812,0.6154375563037376,0.2316026191156657,0.6572530030299724,0.5736221095775027,0.6997841461044031,1.5761823634596126,0.028248121930942272
GNN_Soft_Clip_with_Frozen_Teacher_seed2_GNN,0.6763287043266769,0.7187803625589556,0.6560675797426369,0.7131591027805005,0.6403018755256599,0.28265958003994807,0.7189658804564226,0.5616378705948972,0.7113755192640221,1.672940505714691,0.020366116427032697
GNN_Soft_Clip_with_Frozen_Teacher_seed2_first_fc,0.6908638743362574,0.7400301863455764,0.6574104154380717,0.7016832772978913,0.6494121399112253,0.29719417249504987,0.679328514173905,0.6194957656485455,0.7304684650404506,1.8343148689585644,0.0254987275694722
GNN_Soft_Clip_with_Frozen_Teacher_seed2_second_fc,0.6488822393133917,0.7125036689562184,0.6194842591367056,0.666651154885177,0.6151464032794256,0.22750063318780542,0.6401964380600557,0.5900963684987957,0.7006357559048287,1.5865013780252837,0.03421745974441831
