roc_auc,pr_auc,accuracy,f1,balanced_accuracy,matthews_corrcoef,sensitivity,specificity,precision,pos_LR,sensitivity_at_spec100,fold,n_train,n_val,threshold,best_penalty,best_C,best_solver,best_inner_score,feature,seed
0.6393581081081081,0.7241146122399056,0.6311475409836066,0.697986577181208,0.6117680180180181,0.2243904984098651,0.7027027027027027,0.5208333333333334,0.6933333333333334,1.4665099882491188,0.054054054054054,1,745,122,0.5216587994687941,l2,0.1,lbfgs,0.6789559638825698,ChemBERTa-MLM,0
0.7227777777777777,0.8125448361648877,0.64,0.6762589928057554,0.6604166666666667,0.3084840828609007,0.5875,0.7333333333333333,0.7966101694915254,2.203125,0.1125,2,742,125,0.5259961579113335,l2,0.1,lbfgs,0.6672213987099394,ChemBERTa-MLM,0
0.6355894217839533,0.7143855617714581,0.5787234042553191,0.6373626373626373,0.5677947108919768,0.1350157193969912,0.6304347826086957,0.5051546391752577,0.6444444444444445,1.2740036231884058,0.0072463768115942,3,632,235,0.5381993150336467,l2,0.1,liblinear,0.6727207616593106,ChemBERTa-MLM,0
0.6150126640571033,0.6484826413342482,0.6,0.6229508196721312,0.6015043364801597,0.20149872106806,0.5891472868217055,0.6138613861386139,0.6608695652173913,1.5257404094613398,0.0,4,637,230,0.4819102642033533,l1,1.0,liblinear,0.7157114626995735,ChemBERTa-MLM,0
0.7607017543859649,0.8241056514759845,0.6645161290322581,0.7045454545454546,0.6679824561403509,0.3276219426517362,0.6526315789473685,0.6833333333333333,0.7654320987654321,2.060941828254848,0.1263157894736842,5,712,155,0.526053166874108,l2,1.0,lbfgs,0.6404569982189567,ChemBERTa-MLM,0
0.7222891566265061,0.7830431275943126,0.6885245901639344,0.7015706806282722,0.6904216867469879,0.3792021925944329,0.67,0.7108433734939759,0.7362637362637363,2.317083333333333,0.09,1,684,183,0.4916337013829165,l2,0.1,lbfgs,0.6504779350710896,ChemBERTa-MLM,1
0.6607971607971608,0.7050024797676016,0.6011560693641619,0.6387434554973822,0.5986213486213485,0.1955680776334012,0.6161616161616161,0.581081081081081,0.6630434782608695,1.470837406321277,0.0101010101010101,2,694,173,0.5142182240998415,l2,0.1,lbfgs,0.6658314524981718,ChemBERTa-MLM,1
0.5967603211009175,0.6697271385262387,0.630057803468208,0.7142857142857143,0.5935349770642202,0.1913129457173316,0.7339449541284404,0.453125,0.6956521739130435,1.3420707732634338,0.0091743119266055,3,694,173,0.467083210358413,l1,1.0,liblinear,0.7101187864990399,ChemBERTa-MLM,1
0.6794763513513513,0.7963369802633968,0.6171428571428571,0.6940639269406392,0.5923423423423424,0.1829924111567168,0.6846846846846847,0.5,0.7037037037037037,1.3693693693693694,0.1441441441441441,4,692,175,0.49089165452704,l2,1.0,lbfgs,0.6733882454461663,ChemBERTa-MLM,1
0.6902530459231491,0.714853584762638,0.6441717791411042,0.6947368421052632,0.6356607310215558,0.2690614567754031,0.6804123711340206,0.5909090909090909,0.7096774193548387,1.6632302405498285,0.0412371134020618,5,704,163,0.5301692938376876,l2,0.1,lbfgs,0.6562982073686646,ChemBERTa-MLM,1
0.6901583710407241,0.68964568173115,0.6666666666666666,0.7096774193548387,0.6584276018099547,0.3214703761845693,0.7403846153846154,0.5764705882352941,0.6814159292035398,1.7481303418803418,0.0,1,678,189,0.4521703252467098,l2,1.0,lbfgs,0.6759250425162927,ChemBERTa-MLM,2
0.5948571428571429,0.6371285656804915,0.6,0.6666666666666666,0.5828571428571429,0.1680347854024705,0.6857142857142857,0.48,0.6486486486486487,1.3186813186813189,0.0,2,747,120,0.5036125789667112,l2,0.1,liblinear,0.6725139065925931,ChemBERTa-MLM,2
0.617037037037037,0.7028524421259887,0.5644444444444444,0.5983606557377049,0.5703703703703704,0.1379639842537746,0.5407407407407407,0.6,0.6697247706422018,1.351851851851852,0.0222222222222222,3,642,225,0.5368787836734749,l2,1.0,liblinear,0.6703885101912358,ChemBERTa-MLM,2
0.6415441176470588,0.6991113236839998,0.6445783132530121,0.7177033492822966,0.6176470588235294,0.2392672445295204,0.7352941176470589,0.5,0.7009345794392523,1.4705882352941178,0.0196078431372549,4,701,166,0.5368979284004662,l2,0.1,lbfgs,0.6899510613453728,ChemBERTa-MLM,2
0.7136712749615975,0.7964159309269276,0.6287425149700598,0.6736842105263158,0.6354070660522273,0.2617251328767683,0.6095238095238096,0.6612903225806451,0.7529411764705882,1.799546485260771,0.0571428571428571,5,700,167,0.5192464257351497,l2,0.1,lbfgs,0.6650448709581734,ChemBERTa-MLM,2
0.5894999999999999,0.6750383104627824,0.5769230769230769,0.6625766871165644,0.5475,0.0961979075983513,0.675,0.42,0.6506024096385542,1.1637931034482758,0.0,1,737,130,0.478972875578124,l2,1.0,lbfgs,0.6750146233110269,ChemBERTa-MLM,4
0.6607198748043819,0.7541180739926479,0.6120689655172413,0.6808510638297872,0.59358372456964,0.18643945163475,0.676056338028169,0.5111111111111111,0.6857142857142857,1.3828425096030728,0.056338028169014,2,751,116,0.5283022838737473,l2,0.1,lbfgs,0.6730096035905119,ChemBERTa-MLM,4
0.718235294117647,0.7087251330067148,0.6748251748251748,0.6642599277978339,0.6779901960784314,0.3578003311892198,0.6133333333333333,0.7426470588235294,0.7244094488188977,2.383238095238095,0.0,3,581,286,0.4972674508353908,l2,0.1,liblinear,0.6641471010102242,ChemBERTa-MLM,4
