roc_auc,pr_auc,accuracy,f1,balanced_accuracy,matthews_corrcoef,sensitivity,specificity,precision,pos_LR,sensitivity_at_spec100,fold,n_train,n_val,threshold,best_penalty,best_C,best_solver,best_inner_score
0.75,0.8333924191531774,0.7079646017699115,0.7724137931034483,0.696969696969697,0.374943053707453,0.7272727272727273,0.6666666666666666,0.8235294117647058,2.1818181818181817,0.012987012987012988,1,718,113,0.5089121681148698,l2,0.0001,liblinear,0.6994054517658096
0.7017543859649122,0.7921860564594304,0.7168141592920354,0.8,0.6503508771929825,0.3290560752120188,0.8533333333333334,0.4473684210526316,0.7529411764705882,1.5441269841269845,0.02666666666666667,2,718,113,0.4898176252518685,l2,0.0001,lbfgs,0.7237402604502619
0.7610322186593372,0.8204008684249243,0.6941176470588235,0.7570093457943925,0.6784241868987632,0.3476283631308564,0.7297297297297297,0.6271186440677966,0.7864077669902912,1.957002457002457,0.018018018018018018,3,661,170,0.4915473465600073,l1,0.01,liblinear,0.6877303298147973
0.6815789473684211,0.6975971149587487,0.5957446808510638,0.5648854961832062,0.6049595141700405,0.21452835942012238,0.4868421052631579,0.7230769230769231,0.6727272727272727,1.7580409356725146,0.039473684210526314,4,549,282,0.5423756676016629,l2,0.0001,liblinear,0.7229342541189314
0.6632724719101124,0.6685468691054222,0.673202614379085,0.7093023255813954,0.6708216292134832,0.3382749039669531,0.6853932584269663,0.65625,0.7349397590361446,1.9938712972420838,0.011235955056179775,5,678,153,0.5257118733349563,l2,0.0001,liblinear,0.7007243028144154
